epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_f1_weighted,train_f1_hc,train_f1_ad,train_auroc,train_auroc_macro,train_kappa,train_sensitivity_AD,train_specificity_AD,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_f1_weighted,val_f1_hc,val_f1_ad,val_auroc,val_auroc_macro,val_kappa,val_sensitivity_AD,val_specificity_AD
1,0.7859689875652915,0.42424242424242425,0.424950117903138,0.3980086528773781,0.3975855275327805,0.5236768802228412,0.2723404255319149,0.3771993469980047,0.3771993469980047,-0.14988566124029257,0.21476510065672716,0.6351351350922205,0.7054195255041122,0.32,0.3333333333333333,0.24242424242424243,0.23272727272727273,0.48484848484848486,0.0,0.038461538461538464,0.038461538461538464,-0.32398753894081,0.0,0.666666666111111
2,0.7668900630976024,0.5622895622895623,0.5720655141037307,0.5537860576923077,0.5502602143227143,0.6153846153846154,0.4921875,0.6272292993630574,0.6272292993630574,0.1409691629955948,0.4012738853247596,0.7428571428040815,0.6778209358453751,0.88,0.8814102564102564,0.88,0.88,0.88,0.88,0.9615384615384615,0.9615384615384615,0.7603833865814696,0.8461538455029586,0.9166666659027777
3,0.7312898808404019,0.8249158249158249,0.8230518007801868,0.8221556886227546,0.82252868001371,0.844311377245509,0.8,0.8808854213916356,0.8808854213916356,0.6484567058180826,0.712328767074498,0.9337748343752467,0.626545324921608,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
4,0.6793878266685888,0.8282828282828283,0.8328259881871876,0.8275005978885992,0.8269921481323502,0.8391167192429022,0.8158844765342961,0.848477964561563,0.848477964561563,0.6592274291885081,0.7290322580174817,0.9366197182439,0.5462673008441925,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
5,0.6361967191884392,0.7777777777777778,0.7772764375113368,0.7725563909774436,0.7726724217952289,0.8070175438596491,0.7380952380952381,0.8591510974061309,0.8591510974061309,0.5551066727190195,0.6283783783359204,0.9261744965821359,0.4657190218567848,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
6,0.5524591160447974,0.8653198653198653,0.8606232939035487,0.8629568106312292,0.863986860110891,0.8809523809523809,0.8449612403100775,0.9476797088262057,0.9476797088262057,0.7274354150415271,0.7785714285158163,0.9426751591756257,0.37056540697813034,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
7,0.47427025907918025,0.8922558922558923,0.8843005610227168,0.888982338099243,0.8912288948734142,0.8699186991869918,0.9080459770114943,0.9502207302492411,0.9502207302492411,0.7786266654243921,0.9518072288583248,0.8167938930674202,0.30085114389657974,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
8,0.4690850667263332,0.8484848484848485,0.8479020979020979,0.8481474327656142,0.8484125451164412,0.8553054662379421,0.8409893992932862,0.9341340477704114,0.9341340477704114,0.6963259185203698,0.8321678321096385,0.8636363635802833,0.25157298520207405,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
9,0.4474031552672386,0.8249158249158249,0.8214869281045751,0.8215144230769231,0.8222610722610723,0.796875,0.8461538461538461,0.9328022875816995,0.9328022875816995,0.647203947368421,0.9346405228147293,0.7083333332841435,0.2142104133963585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
10,0.37702027865146337,0.8686868686868687,0.8702813067150635,0.868394441730199,0.868248228251864,0.8745980707395499,0.8621908127208481,0.9590744101633394,0.9590744101633394,0.7381011599249327,0.8026315788945637,0.9379310344180737,0.18078909441828728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
11,0.3446308178336997,0.9124579124579124,0.9125170068027211,0.9124569200072556,0.9124598973592263,0.912751677852349,0.9121621621621622,0.9712925170068027,0.9712925170068027,0.8249217793497483,0.9183673468763015,0.9066666666062222,0.162442397326231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
12,0.35060237857856247,0.8821548821548821,0.8854337152209493,0.8821067673777687,0.8819864804349851,0.8844884488448845,0.8797250859106529,0.9485360974722676,0.9485360974722676,0.765386959171237,0.8205128204602234,0.950354609861677,0.15922574698925018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
13,0.3234323984698245,0.8922558922558923,0.8933823529411764,0.8922448979591837,0.892211915069058,0.8933333333333333,0.891156462585034,0.960239651416122,0.960239651416122,0.784841075794621,0.856209150270836,0.9305555554909336,0.16792423464357853,0.96,0.9615384615384616,0.96,0.96,0.96,0.96,1.0,1.0,0.9201277955271565,0.9230769223668639,0.9999999991666666
14,0.31119674561839356,0.9057239057239057,0.9058303085299455,0.9056971786265082,0.9057345965628648,0.9072847682119205,0.9041095890410958,0.9614337568058074,0.9614337568058074,0.811402911960811,0.9103448275234245,0.9013157894143871,0.18713264539837837,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
15,0.26697400251501485,0.9225589225589226,0.9222776769509982,0.922471030201228,0.9225325548516142,0.9250814332247557,0.9198606271777003,0.9786297640653357,0.9786297640653357,0.844957897364897,0.9103448275234245,0.9342105262543282,0.16223640367388725,0.96,0.9615384615384616,0.96,0.96,0.96,0.96,1.0,1.0,0.9201277955271565,0.9230769223668639,0.9999999991666666
16,0.26167050062825803,0.9158249158249159,0.9166666666666666,0.9158249158249159,0.9158249158249159,0.9158249158249159,0.9158249158249159,0.9786673928830792,0.9786673928830792,0.8318042813455657,0.8888888888307915,0.944444444378858,0.1688009276986122,0.96,0.9615384615384616,0.96,0.96,0.96,0.96,0.9935897435897436,0.9935897435897436,0.9201277955271565,0.9230769223668639,0.9999999991666666
17,0.2714753519547613,0.9191919191919192,0.9183018521914543,0.9183018521914543,0.9191919191919192,0.9097744360902256,0.926829268292683,0.9767559141756831,0.9767559141756831,0.8366037043829084,0.926829268236169,0.9097744360218214,0.29667867347598076,0.88,0.875,0.8768472906403941,0.8776354679802956,0.8571428571428571,0.896551724137931,1.0,1.0,0.7572815533980582,0.9999999992307692,0.749999999375
18,0.25082061890708773,0.9427609427609428,0.9421532846715328,0.9423847180856526,0.9427452667328056,0.9377289377289377,0.9470404984423676,0.9800866788321169,0.9800866788321169,0.8847707510783486,0.949999999940625,0.9343065692748681,0.26019492000341415,0.92,0.9198717948717949,0.9198717948717949,0.92,0.9166666666666666,0.9230769230769231,0.9807692307692308,0.9807692307692308,0.8397435897435898,0.9230769223668639,0.9166666659027777
19,0.3730897599537122,0.8619528619528619,0.8525333947489636,0.8572333016777461,0.8604670744588441,0.8831908831908832,0.831275720164609,0.9498618148318747,0.9498618148318747,0.7154308148909818,0.7769230768633135,0.9281437125192727,0.28763895854353905,0.92,0.9198717948717949,0.9198717948717949,0.92,0.9166666666666666,0.9230769230769231,0.9743589743589745,0.9743589743589745,0.8397435897435898,0.9230769223668639,0.9166666659027777
20,0.32211402195848915,0.8888888888888888,0.8913580246913579,0.8885654838379589,0.8891112298614033,0.8825622775800712,0.8945686900958466,0.9606995884773664,0.9606995884773664,0.7774371551195586,0.8641975308108519,0.91851851845048,0.23648020066320896,0.92,0.9198717948717949,0.9198717948717949,0.92,0.9166666666666666,0.9230769230769231,0.9935897435897436,0.9935897435897436,0.8397435897435898,0.9230769223668639,0.9166666659027777
21,0.26865470134898234,0.9259259259259259,0.925904926063685,0.925904926063685,0.9259259259259259,0.9271523178807947,0.9246575342465754,0.9714233874625784,0.9714233874625784,0.85180985212737,0.9246575341832426,0.9271523178193939,0.2384281475096941,0.92,0.9198717948717949,0.9198717948717949,0.92,0.9166666666666666,0.9230769230769231,0.9935897435897436,0.9935897435897436,0.8397435897435898,0.9230769223668639,0.9166666659027777
22,0.3184196768622649,0.8855218855218855,0.886252045826514,0.8854166666666666,0.8855920314253647,0.8888888888888888,0.8819444444444444,0.9613111474813604,0.9613111474813604,0.7709269089424255,0.9007092197942759,0.8717948717389875,0.2763224560767412,0.92,0.9198717948717949,0.9198717948717949,0.92,0.9166666666666666,0.9230769230769231,0.9807692307692308,0.9807692307692308,0.8397435897435898,0.9230769223668639,0.9166666659027777
23,0.31123060615439163,0.8922558922558923,0.8947069513857338,0.8922253470017236,0.8921459293408853,0.8904109589041096,0.8940397350993378,0.9752385279418446,0.9752385279418446,0.7852397523387716,0.9507042252851616,0.8387096773652445,0.2565354723483324,0.92,0.9198717948717949,0.9198717948717949,0.92,0.9166666666666666,0.9230769230769231,0.9871794871794872,0.9871794871794872,0.8397435897435898,0.9230769223668639,0.9166666659027777
24,0.18753033797991903,0.9663299663299664,0.9663295846181752,0.9663295846181752,0.9663299663299664,0.9664429530201343,0.9662162162162162,0.9912933067295483,0.9912933067295483,0.9326591692363504,0.9662162161509313,0.9664429529552723,0.1949099451303482,0.92,0.9198717948717949,0.9198717948717949,0.92,0.9166666666666666,0.9230769230769231,0.9935897435897436,0.9935897435897436,0.8397435897435898,0.9230769223668639,0.9166666659027777
25,0.3477880231251842,0.8787878787878788,0.8856060606060606,0.8786213786213786,0.8791208791208791,0.8741258741258742,0.8831168831168831,0.9731634527089073,0.9731634527089073,0.7585692995529061,0.8242424241924701,0.9469696968979567,0.2436392791569233,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,0.9935897435897436,0.9935897435897436,0.9196141479099679,0.9999999992307692,0.9166666659027777
26,0.28338921775943354,0.8922558922558923,0.8939950980392157,0.892156862745098,0.8920578332343038,0.8888888888888888,0.8954248366013072,0.9780773420479303,0.9780773420479303,0.7851037851037851,0.9513888888228201,0.8366013071348626,0.20347806252539158,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,0.9935897435897436,0.9935897435897436,0.9196141479099679,0.9999999992307692,0.9166666659027777
27,0.2961719073355198,0.9023569023569024,0.9015646258503401,0.9016028240777764,0.9016898331099832,0.9102167182662538,0.8929889298892989,0.9750566893424036,0.9750566893424036,0.8043878176739115,0.8231292516446851,0.9799999999346666,0.21482622623443604,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,0.9935897435897435,0.9935897435897435,0.9196141479099679,0.9999999992307692,0.9166666659027777
