epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_f1_weighted,train_f1_hc,train_f1_ad,train_auroc,train_auroc_macro,train_kappa,train_sensitivity_AD,train_specificity_AD,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_f1_weighted,val_f1_hc,val_f1_ad,val_auroc,val_auroc_macro,val_kappa,val_sensitivity_AD,val_specificity_AD
1,0.7812159814332661,0.6026936026936027,0.6081375306177992,0.5595022624434389,0.5571801473762258,0.6974358974358974,0.4215686274509804,0.752199945568357,0.752199945568357,0.21389798573415286,0.28476821190167095,0.9315068492512666,0.6663932502269745,0.92,0.9230769230769231,0.9198717948717949,0.9197435897435898,0.9230769230769231,0.9166666666666666,1.0,1.0,0.8407643312101911,0.8461538455029586,0.9999999991666666
2,0.760045233525728,0.7205387205387206,0.714904718693285,0.7009571409508328,0.7027607074918224,0.7774798927613941,0.6244343891402715,0.7894056261343012,0.7894056261343012,0.43457118609078604,0.47586206893269917,0.9539473683582929,0.6251846253871918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
3,0.7229210875536266,0.8215488215488216,0.8181941923774955,0.8167627029858564,0.8174606786096222,0.8463768115942029,0.7871485943775101,0.8174909255898366,0.8174909255898366,0.6405589934464413,0.675862068918906,0.9605263157262811,0.5615963041782379,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
4,0.6597691460659629,0.8484848484848485,0.8500137350059518,0.8477946451958227,0.84879543996491,0.8580441640378549,0.8375451263537906,0.9353539053200255,0.9353539053200255,0.6958698372966208,0.8656716417264424,0.8343558281696714,0.48643358796834946,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
5,0.6121789750299955,0.8215488215488216,0.8104938271604938,0.8144734515881902,0.8177671582940014,0.8507042253521127,0.7782426778242678,0.9151348879743941,0.9151348879743941,0.6331025802391441,0.68888888883786,0.9320987653745617,0.42045535147190094,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
6,0.5469926666272314,0.8249158249158249,0.823265306122449,0.81959629941127,0.8199092126762437,0.8505747126436781,0.7886178861788617,0.9381632653061225,0.9381632653061225,0.6486486486486487,0.6598639455333426,0.9866666666008889,0.36119480431079865,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
7,0.4750720097830421,0.8787878787878788,0.8747272231314784,0.8768770152003685,0.8776516896277377,0.8922155688622755,0.8615384615384616,0.9562647754137116,0.9562647754137116,0.7551188676652467,0.7943262410784165,0.9551282050669789,0.3112495392560959,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
8,0.43714929881848785,0.8484848484848485,0.8499727841785358,0.8476489028213166,0.8474589151705139,0.8589341692789969,0.8363636363636363,0.9384922434908828,0.9384922434908828,0.6978090306826147,0.7615894039230735,0.9383561643192906,0.26850537583231926,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
9,0.45424832482086985,0.8047138047138047,0.8102593266606005,0.804214402618658,0.8036484135774916,0.7943262411347518,0.8141025641025641,0.9102820746132848,0.9102820746132848,0.6129336688836958,0.9071428570780612,0.7133757961329059,0.2331830970942974,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
10,0.4331848750773229,0.797979797979798,0.7977734445855251,0.7971496220744922,0.7971933155431926,0.7841726618705036,0.810126582278481,0.904657173952476,0.904657173952476,0.5957900467268521,0.8590604026269086,0.7364864864367239,0.21813545003533363,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
