epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_f1_weighted,train_f1_hc,train_f1_ad,train_auroc,train_auroc_macro,train_kappa,train_sensitivity_AD,train_specificity_AD,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_f1_weighted,val_f1_hc,val_f1_ad,val_auroc,val_auroc_macro,val_kappa,val_sensitivity_AD,val_specificity_AD
1,0.7961684732060683,0.5016835016835017,0.5074410163339382,0.4732528041415013,0.4703685304778201,0.5956284153005464,0.3508771929824561,0.48643375680580764,0.48643375680580764,0.014704563794494807,0.26315789471952905,0.7517241378791913,0.6854061186313629,0.52,0.5384615384615384,0.40476190476190477,0.3942857142857143,0.6666666666666666,0.14285714285714285,0.967948717948718,0.967948717948718,0.07407407407407418,0.07692307686390532,0.9999999991666666
2,0.7743202400834936,0.6801346801346801,0.6971384985207101,0.6799024334902717,0.6787121694376785,0.6885245901639344,0.671280276816609,0.7842316937869822,0.7842316937869822,0.37678086276588696,0.5739644970074577,0.820312499935913,0.6457321047782898,0.96,0.9615384615384616,0.96,0.96,0.96,0.96,1.0,1.0,0.9201277955271565,0.9230769223668639,0.9999999991666666
3,0.7338495332943765,0.8181818181818182,0.8164240218380345,0.8170848540145985,0.8178956536164566,0.83125,0.8029197080291971,0.8728161965423112,0.8728161965423112,0.6343198504263761,0.7857142856581633,0.8471337579078259,0.5858516693115234,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
4,0.6603196984843204,0.898989898989899,0.8900605171465248,0.8956674473067916,0.8976107681025713,0.9142857142857143,0.8770491803278688,0.9270126535851825,0.9270126535851825,0.7925108285594522,0.8045112781349991,0.9756097560380725,0.5076974928379059,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
5,0.6156153851433804,0.7946127946127947,0.802638762511374,0.7927709465255934,0.7916526816155068,0.8123076923076923,0.7732342007434945,0.900705186533212,0.900705186533212,0.5949245388485187,0.6624203821234127,0.9428571427897958,0.42866896092891693,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
6,0.5660347507188195,0.8181818181818182,0.8239677331145747,0.8180807622504537,0.8177775944563603,0.8137931034482758,0.8223684210526315,0.9051134809953516,0.9051134809953516,0.6393685914732865,0.9057971013836379,0.7421383647331988,0.3684017136693001,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
7,0.45809155388882283,0.8855218855218855,0.8857473245057138,0.885051452508879,0.8850266928766155,0.8924050632911392,0.8776978417266187,0.9650371848358426,0.9650371848358426,0.7711449551264618,0.8187919462537723,0.9527027026383309,0.31514081358909607,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
8,0.4214692813785453,0.8855218855218855,0.889253486464315,0.8855102040816327,0.8855919741634027,0.8866666666666667,0.8843537414965986,0.9571597848874305,0.9571597848874305,0.771858479056527,0.9420289854389834,0.8364779873687749,0.27493714913725853,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,0.9999999999999999,0.9999999999999999,0.9196141479099679,0.9999999992307692,0.9166666659027777
9,0.4720642201994595,0.7912457912457912,0.7811296534017972,0.7843793911007026,0.7883955874119809,0.7459016393442623,0.8228571428571428,0.8983587016321292,0.8983587016321292,0.5711890456895348,0.8780487804342653,0.6842105262643451,0.2550830915570259,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
10,0.4090287501090451,0.8585858585858586,0.8567313798421483,0.8563565177337633,0.8566577800110735,0.874251497005988,0.8384615384615385,0.9320058060419124,0.9320058060419124,0.7160611854684512,0.7465753424146181,0.9668874171545108,0.23386359214782715,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
