epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_f1_weighted,train_f1_hc,train_f1_ad,train_auroc,train_auroc_macro,train_kappa,train_sensitivity_AD,train_specificity_AD,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_f1_weighted,val_f1_hc,val_f1_ad,val_auroc,val_auroc_macro,val_kappa,val_sensitivity_AD,val_specificity_AD
1,0.7847721811972166,0.6161616161616161,0.6150322053887327,0.613845802919708,0.6143492405809924,0.583941605839416,0.64375,0.6087725664519641,0.6087725664519641,0.23053497568292347,0.6821192052528398,0.5479452054419215,0.68321493268013,0.92,0.9230769230769231,0.9198717948717949,0.9197435897435898,0.9230769230769231,0.9166666666666666,0.9679487179487181,0.9679487179487181,0.8407643312101911,0.8461538455029586,0.9999999991666666
2,0.7556911346159483,0.696969696969697,0.6898532668881506,0.6904817044928208,0.6963661627858014,0.7352941176470589,0.6456692913385826,0.7795773348098929,0.7795773348098929,0.3810780772436788,0.6356589146794063,0.7440476190033305,0.6511073857545853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
3,0.7143618370357313,0.8181818181818182,0.8043548238756553,0.8096153846153846,0.8143745143745144,0.85,0.7692307692307693,0.8671479812379288,0.8671479812379288,0.6227418140760256,0.6870229007109142,0.9216867469324285,0.6012843698263168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
4,0.6613042338898307,0.8282828282828283,0.8321678321678322,0.8273354231974922,0.8268617206548241,0.8401253918495298,0.8145454545454546,0.8987149214421942,0.8987149214421942,0.6589051275699777,0.7272727272255017,0.9370629369974082,0.5057948976755142,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
5,0.608662915072943,0.8215488215488216,0.8234822818423222,0.8208909370199693,0.8219508620942313,0.8100358422939068,0.8317460317460318,0.8993681897262156,0.8993681897262156,0.6422743903824739,0.8036809815457864,0.8432835820266206,0.42114847898483276,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
6,0.48628500025523336,0.9225589225589226,0.9224802685294384,0.9225273042768194,0.9225536528452386,0.9209621993127147,0.9240924092409241,0.9655719858477729,0.9655719858477729,0.8450563658221244,0.9271523178193939,0.9178082191152186,0.34953250735998154,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
7,0.4595504450170617,0.8754208754208754,0.8716646935616064,0.8737665560061112,0.8746910286202442,0.8593155893536122,0.8882175226586103,0.9488434568800657,0.9488434568800657,0.7481839638855152,0.9303797467765582,0.8129496402292842,0.29796113818883896,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
8,0.4137415419283666,0.8686868686868687,0.868835304822566,0.868394441730199,0.8687495316061552,0.8745980707395499,0.8621908127208481,0.9449044585987261,0.9449044585987261,0.7368157960509872,0.8714285713663265,0.8662420381613858,0.25583361834287643,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
9,0.388065221278291,0.8754208754208754,0.8762585034013606,0.8747335423197492,0.8746398150786865,0.8840125391849529,0.8654545454545455,0.9494784580498866,0.9494784580498866,0.7512393887945671,0.7933333332804444,0.9591836734041371,0.22501955181360245,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
10,0.3726450800895691,0.8686868686868687,0.8687074829931973,0.8686809137803979,0.8686898461401041,0.8695652173913043,0.8677966101694915,0.9416326530612245,0.9416326530612245,0.7373648051152983,0.8707482992604932,0.8666666666088888,0.21916208043694496,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
11,0.40329860150814056,0.8383838383838383,0.8382006167241067,0.8378525932666061,0.8378838429793843,0.8471337579617835,0.8285714285714286,0.9301197170324687,0.9301197170324687,0.6766467065868264,0.7837837837308254,0.8926174496045223,0.17407379299402237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
12,0.25276312545726176,0.9326599326599326,0.9321467539552646,0.9324385805277525,0.9326338912326174,0.9363057324840764,0.9285714285714286,0.9884979087106747,0.9884979087106747,0.8648833083117238,0.9219858155374477,0.9423076922472879,0.14988751709461212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
13,0.3084200691235693,0.9023569023569024,0.90109357696567,0.9007318619258917,0.902399666578771,0.9134328358208955,0.888030888030888,0.9749446290143965,0.9749446290143965,0.8014660120323629,0.8914728681479478,0.9107142856600765,0.23111207783222198,0.92,0.9166666666666667,0.9188311688311688,0.9192207792207792,0.9090909090909091,0.9285714285714286,1.0,1.0,0.8387096774193549,0.9999999992307692,0.8333333326388889
14,0.26117936051205587,0.9225589225589226,0.921604938271605,0.9218644552473548,0.922534120154938,0.9292307692307692,0.9144981412639405,0.9836305441243712,0.9836305441243712,0.8437306979617047,0.9111111110436213,0.9320987653745617,0.24357349053025246,0.92,0.9166666666666667,0.9188311688311688,0.9192207792207792,0.9090909090909091,0.9285714285714286,0.9935897435897436,0.9935897435897436,0.8387096774193549,0.9999999992307692,0.8333333326388889
15,0.2850905450943269,0.9292929292929293,0.9298955020445252,0.9292415905610074,0.9293250160003804,0.9273356401384083,0.9311475409836065,0.971444797819173,0.971444797819173,0.858523307247363,0.9161290321989594,0.9436619717645308,0.21065744385123253,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
16,0.2950631521250072,0.9057239057239057,0.9081210191082802,0.9057142857142857,0.9057687991021324,0.9066666666666666,0.9047619047619048,0.984326660600546,0.984326660600546,0.8118466898954704,0.9499999999321428,0.8662420381613858,0.19658702611923218,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
17,0.2604639985059437,0.9158249158249159,0.915721929983675,0.9157293806535087,0.9157389341706493,0.9185667752442996,0.9128919860627178,0.986191728641393,0.986191728641393,0.8316135616283026,0.8851351350753287,0.9463087247687041,0.14322318136692047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
