ablation,link_features,text_encoder,audio_encoder,error,fold,best_val_bacc,loss,accuracy,balanced_accuracy,f1_macro,f1_weighted,f1_hc,f1_ad,auroc,auroc_macro,kappa,sensitivity_AD,specificity_AD
text_only,plain,microsoft/deberta-v3-base,/home/usuaris/veu/joan.lapeyra/knowledge_distillation/pretrained/wav2vec2-base,Error parsing line b'\x0e' in /home/usuaris/veu/joan.lapeyra/knowledge_distillation/adresso_student/.cache/huggingface/hub/models--microsoft--deberta-v3-base/snapshots/8ccc9b6f36199bec6961081d44eb72fb3f7353f3/spm.model,,,,,,,,,,,,,,
text_only,plain,,,,4.0,0.9615384615384616,0.619158148765564,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9840909090909091,0.9840909090909091,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,plain,,,,4.0,0.9615384615384616,0.6796989440917969,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.9840909090909091,0.9840909090909091,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,plain,microsoft/mdeberta-v3-base,/home/usuaris/veu/joan.lapeyra/knowledge_distillation/pretrained/wav2vec2-base,Error parsing line b'\x0e' in /home/usuaris/veu/joan.lapeyra/knowledge_distillation/adresso_student/.cache/huggingface/hub/models--microsoft--mdeberta-v3-base/snapshots/a0484667b22365f84929a935b5e50a51f71f159d/spm.model,,,,,,,,,,,,,,
text_only,plain,,,,4.0,0.9615384615384616,0.6268953780333201,0.9523809523809523,0.9522727272727273,0.9522727272727273,0.9523809523809523,0.95,0.9545454545454546,0.975,0.975,0.9045454545454545,0.9545454541115702,0.9499999995249999
text_only,emb,microsoft/deberta-v3-base,/home/usuaris/veu/joan.lapeyra/knowledge_distillation/pretrained/wav2vec2-base,Error parsing line b'\x0e' in /home/usuaris/veu/joan.lapeyra/knowledge_distillation/adresso_student/.cache/huggingface/hub/models--microsoft--deberta-v3-base/snapshots/8ccc9b6f36199bec6961081d44eb72fb3f7353f3/spm.model,,,,,,,,,,,,,,
text_only,emb,,,,4.0,0.9230769230769231,0.6755114098389944,0.9285714285714286,0.9295454545454545,0.9285309132161089,0.9286119439267483,0.926829268292683,0.9302325581395349,0.9886363636363638,0.9886363636363638,0.8571428571428572,0.9090909086776859,0.9499999995249999
text_only,emb,,,,4.0,1.0,0.6528195440769196,0.9761904761904762,0.9772727272727273,0.9761769710720363,0.9762039813089161,0.975609756097561,0.9767441860465116,0.990909090909091,0.990909090909091,0.9523809523809523,0.9545454541115702,0.9999999995
text_only,emb,microsoft/mdeberta-v3-base,/home/usuaris/veu/joan.lapeyra/knowledge_distillation/pretrained/wav2vec2-base,Error parsing line b'\x0e' in /home/usuaris/veu/joan.lapeyra/knowledge_distillation/adresso_student/.cache/huggingface/hub/models--microsoft--mdeberta-v3-base/snapshots/a0484667b22365f84929a935b5e50a51f71f159d/spm.model,,,,,,,,,,,,,,
text_only,emb,,,,4.0,0.9615384615384616,0.6336893737316132,0.9523809523809523,0.95,0.9519450800915332,0.9521630162362427,0.9473684210526315,0.9565217391304348,0.9954545454545455,0.9954545454545455,0.904109589041096,0.9999999995454545,0.89999999955
