epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_f1_weighted,train_f1_hc,train_f1_ad,train_auroc,train_auroc_macro,train_kappa,train_sensitivity_AD,train_specificity_AD,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_f1_weighted,val_f1_hc,val_f1_ad,val_auroc,val_auroc_macro,val_kappa,val_sensitivity_AD,val_specificity_AD
1,0.7848190351536399,0.5521885521885522,0.5531972789115646,0.5481727194738347,0.5477424516829721,0.5055762081784386,0.5907692307692308,0.5665532879818594,0.5665532879818594,0.10617066051184576,0.65306122444537,0.4533333333031111,0.6815914064645767,0.72,0.7307692307692308,0.7028862478777589,0.7000339558573853,0.7741935483870968,0.631578947368421,0.9551282051282052,0.9551282051282052,0.45141065830721006,0.46153846118343195,0.9999999991666666
2,0.7595387007060804,0.7508417508417509,0.7513381112219903,0.750771114941486,0.7507004790412211,0.7549668874172185,0.7465753424657534,0.7790528894130455,0.7790528894130455,0.5021068370259616,0.7218543045879566,0.7808219177547382,0.6421336829662323,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
3,0.7276689331782492,0.8013468013468014,0.795119494551781,0.7972930765226445,0.8000920769964671,0.8259587020648967,0.7686274509803922,0.8321353355919787,0.8321353355919787,0.5953771907543814,0.7313432835275117,0.8588957054687794,0.5917884707450867,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
4,0.6765527050746115,0.8383838383838383,0.8458029197080292,0.8382352941176471,0.837855680992936,0.8431372549019608,0.8333333333333334,0.8417883211678833,0.8417883211678833,0.6801866475233309,0.7499999999531249,0.941605839347328,0.5120164826512337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
5,0.605912530108502,0.8552188552188552,0.8553741496598639,0.8552122895527464,0.8552024410535833,0.8561872909698997,0.8542372881355932,0.9294331065759638,0.9294331065759638,0.7105066303978238,0.839999999944,0.8707482992604932,0.4263519123196602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
6,0.5413070281869486,0.8518518518518519,0.8527891156462586,0.850794665692364,0.8506678033532253,0.8382352941176471,0.8633540372670807,0.9020181405895691,0.9020181405895691,0.7042368278109723,0.945578231228192,0.7599999999493333,0.3446630463004112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
7,0.46601996531611994,0.8720538720538721,0.8689091915836102,0.8695682322485208,0.8719326213316597,0.8875739644970414,0.8515625,0.9277177925433739,0.9277177925433739,0.739148523089724,0.8449612402445766,0.8928571428039965,0.2859369218349457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
8,0.42457664012908936,0.8619528619528619,0.8626530612244898,0.8614439324116743,0.8613591108214764,0.8698412698412699,0.8530465949820788,0.9523356009070294,0.9523356009070294,0.7242714489504789,0.7933333332804444,0.9319727890522467,0.2397146187722683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
9,0.3889161477747716,0.8821548821548821,0.8838661338661339,0.8821335026589412,0.8820747090451037,0.8837209302325582,0.8805460750853242,0.9561120697484333,0.9561120697484333,0.7648668823090321,0.837662337607944,0.9300699300048901,0.2020007073879242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
10,0.36660534731651606,0.9158249158249159,0.9172884440400364,0.9157637982869136,0.9158936730551683,0.9134948096885813,0.9180327868852459,0.9611464968152866,0.9611464968152866,0.8316822705324961,0.8917197451661325,0.9428571427897958,0.16757678985595703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
