epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1_macro,train_f1_weighted,train_f1_hc,train_f1_ad,train_auroc,train_auroc_macro,train_kappa,train_sensitivity_AD,train_specificity_AD,val_loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_f1_weighted,val_f1_hc,val_f1_ad,val_auroc,val_auroc_macro,val_kappa,val_sensitivity_AD,val_specificity_AD
1,0.6411277212594685,0.5353535353535354,0.5340816326530613,0.5272009966777409,0.5278281150374173,0.5892857142857143,0.46511627906976744,0.5346938775510204,0.5346938775510204,0.0683306055646481,0.4081632652783562,0.659999999956,0.559132769703865,0.6,0.6153846153846154,0.5404411764705883,0.5338235294117647,0.7058823529411765,0.375,0.9102564102564104,0.9102564102564104,0.22360248447204967,0.23076923059171597,0.9999999991666666
2,0.6176791316584537,0.6296296296296297,0.6294557823129252,0.629423774954628,0.6295119983867715,0.6206896551724138,0.6381578947368421,0.665328798185941,0.665328798185941,0.25898203592814373,0.6466666666235555,0.6122448979175343,0.5384334772825241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
3,0.5811754167079926,0.8282828282828283,0.8236425235784268,0.8254249985593269,0.8276059738746305,0.8477611940298507,0.803088803088803,0.8799789396575405,0.8799789396575405,0.6511756442438339,0.7761194029271552,0.8711656441183333,0.5075226351618767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
4,0.5453356527968457,0.7946127946127947,0.8059919620021923,0.793677185709893,0.7925076745812661,0.807570977917981,0.779783393501805,0.8613217025940811,0.8613217025940811,0.5966560545005233,0.670807453374484,0.9411764705190311,0.4659544825553894,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
5,0.4897709590824027,0.8888888888888888,0.8900045433893684,0.8888687310784302,0.8889342439624207,0.8903654485049833,0.8873720136518771,0.9349840981372104,0.9349840981372104,0.7779414097016109,0.9154929576820074,0.8645161289764828,0.3890148848295212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
6,0.41573702583187505,0.8888888888888888,0.883024548402038,0.8856479482901445,0.8884351572050647,0.8663967611336032,0.9048991354466859,0.9474988420565076,0.9474988420565076,0.7714265724480516,0.9235294117103806,0.84251968497303,0.30017048865556717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
7,0.37241224395601374,0.8451178451178452,0.8449605370588769,0.8450317604355717,0.8450932494943385,0.8413793103448276,0.8486842105263158,0.9333665971151229,0.9333665971151229,0.690077582686811,0.8543046357050129,0.8356164382989303,0.24242094531655312,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
8,0.3471102671403634,0.8451178451178452,0.8381186765108012,0.841139534883721,0.842917077754287,0.8662790697674418,0.816,0.9395223771761918,0.9395223771761918,0.6847570261664129,0.7391304347290485,0.9371069181800561,0.19536806643009186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
9,0.3385520181373546,0.8282828282828283,0.8331668331668332,0.8265127306463251,0.825863694846274,0.8440366972477065,0.8089887640449438,0.9428980110798293,0.9428980110798293,0.6595797280593325,0.7012987012531624,0.96503496496748,0.1674920953810215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999992307692,0.9999999991666666
10,0.3353454968646953,0.8114478114478114,0.8072467060427079,0.8081395348837209,0.8092422937384178,0.7829457364341085,0.8333333333333334,0.9170377101317583,0.9170377101317583,0.6192482029211117,0.9032258063933403,0.7112676055837135,0.1479819007217884,0.96,0.9583333333333333,0.9597423510466989,0.9598711755233496,0.9565217391304348,0.9629629629629629,1.0,1.0,0.9196141479099679,0.9999999992307692,0.9166666659027777
